Scenario,Config,AgentName,Commitment,Rep,Score,NumTraps
3.1_fixed_no_traps,all_together,rnd,20,7,35,0
3.1_fixed_no_traps,all_together,agA,20,8,76,0
3.1_fixed_no_traps,all_together,rnd,20,8,23,0
3.1_fixed_no_traps,all_together,agB,20,8,68,0
3.1_fixed_no_traps,all_together,agA,20,9,126,0
3.1_fixed_no_traps,all_together,agB,20,9,94,0
3.1_fixed_no_traps,all_together,rnd,20,9,26,0
3.1_fixed_no_traps,RandomAgent_solo,player,1,1,20,0
3.1_fixed_no_traps,RandomAgent_solo,player,1,10,12,0
3.1_fixed_no_traps,RandomAgent_solo,player,1,2,16,0
3.1_fixed_no_traps,RandomAgent_solo,player,1,3,18,0
3.1_fixed_no_traps,RandomAgent_solo,player,1,4,19,0
3.1_fixed_no_traps,RandomAgent_solo,player,1,5,11,0
3.1_fixed_no_traps,RandomAgent_solo,player,1,6,22,0
3.1_fixed_no_traps,RandomAgent_solo,player,1,7,23,0
3.1_fixed_no_traps,RandomAgent_solo,player,1,8,24,0
3.1_fixed_no_traps,RandomAgent_solo,player,1,9,17,0
3.1_fixed_no_traps,RandomAgent_solo,player,20,1,14,0
3.1_fixed_no_traps,RandomAgent_solo,player,20,10,19,0
3.1_fixed_no_traps,RandomAgent_solo,player,20,2,27,0
3.1_fixed_no_traps,RandomAgent_solo,player,20,3,25,0
3.1_fixed_no_traps,RandomAgent_solo,player,20,4,24,0
3.1_fixed_no_traps,RandomAgent_solo,player,20,5,16,0
3.1_fixed_no_traps,RandomAgent_solo,player,20,6,19,0
3.1_fixed_no_traps,RandomAgent_solo,player,20,7,14,0
3.1_fixed_no_traps,RandomAgent_solo,player,20,8,32,0
3.1_fixed_no_traps,RandomAgent_solo,player,20,9,19,0
3.2_fixed_10_traps,AgentA_solo,player,1,1,1,0
3.2_fixed_10_traps,AgentA_solo,player,1,10,1,0
3.2_fixed_10_traps,AgentA_solo,player,1,2,5,0
3.2_fixed_10_traps,AgentA_solo,player,1,3,3,0
3.2_fixed_10_traps,AgentA_solo,player,1,4,2,0
3.2_fixed_10_traps,AgentA_solo,player,1,5,18,0
3.2_fixed_10_traps,AgentA_solo,player,1,6,15,0
3.2_fixed_10_traps,AgentA_solo,player,1,7,2,0
3.2_fixed_10_traps,AgentA_solo,player,1,8,4,0
3.2_fixed_10_traps,AgentA_solo,player,1,9,12,0
3.2_fixed_10_traps,AgentA_solo,player,20,1,26,0
3.2_fixed_10_traps,AgentA_solo,player,20,10,17,0
3.2_fixed_10_traps,AgentA_solo,player,20,2,4,0
3.2_fixed_10_traps,AgentA_solo,player,20,3,14,0
3.2_fixed_10_traps,AgentA_solo,player,20,4,10,0
3.2_fixed_10_traps,AgentA_solo,player,20,5,12,0
3.2_fixed_10_traps,AgentA_solo,player,20,6,0,0
3.2_fixed_10_traps,AgentA_solo,player,20,7,8,0
3.2_fixed_10_traps,AgentA_solo,player,20,8,7,0
3.2_fixed_10_traps,AgentA_solo,player,20,9,78,0
3.2_fixed_10_traps,AgentB_solo,player,1,1,275,0
3.2_fixed_10_traps,AgentB_solo,player,1,10,295,0
3.2_fixed_10_traps,AgentB_solo,player,1,2,281,0
3.2_fixed_10_traps,AgentB_solo,player,1,3,294,0
3.2_fixed_10_traps,AgentB_solo,player,1,4,279,0
3.2_fixed_10_traps,AgentB_solo,player,1,5,298,0
